Nombre Trabajador,Sueldo Base,Descuento Salud,Descuento AFP,Sueldo Liquido
Juan Perez,1986426,139049.8,238371.1,1609005.1
María García,1812090,126846.3,217450.8,1467792.9
Carlos López,1030939,72165.7,123712.7,835060.6
Ana Martinez,1202088,84146.2,144250.6,973691.2
Pedro Rodríguez,2401554,168108.8,288186.5,1945258.7
Laura Hernández,1692962,118507.3,203155.4,1371299.3
Miguel Sánchez,1931041,135172.9,231724.9,1564143.2
Isabel Gómez,2673295,187130.7,320795.4,2165368.9
Francisco Díaz,2355673,164897.1,282680.8,1908095.1
Elena Fernández,2564173,179492.1,307700.8,2076980.1
